Year,Month,Day,Hour,Minute,Temperature,GHI
2018,1,1,0,0,20,0
2018,1,1,1,0,20.8,0
2018,1,1,2,0,23.2,142
2018,1,1,3,0,25.7,364
2018,1,1,4,0,27.9,572
2018,1,1,5,0,29.5,734
2018,1,1,6,0,30.7,830
2018,1,1,7,0,31.5,855
2018,1,1,8,0,31.9,763
2018,1,1,9,0,32,666
2018,1,1,10,0,31.6,514
2018,1,1,11,0,30.7,295
2018,1,1,12,0,27.8,80
2018,1,1,13,0,26.2,0
2018,1,1,14,0,25.3,0
2018,1,1,15,0,24.6,0
2018,1,1,16,0,23.9,0
2018,1,1,17,0,23.4,0
2018,1,1,18,0,22.9,0
2018,1,1,19,0,22.5,0
2018,1,1,20,0,22.2,0
2018,1,1,21,0,22.1,0
2018,1,1,22,0,22.2,0
2018,1,1,23,0,22.1,0
2018,1,2,0,0,21.8,0
2018,1,2,1,0,22.2,0
2018,1,2,2,0,24.4,129
2018,1,2,3,0,26.7,348
2018,1,2,4,0,28.7,553
2018,1,2,5,0,30.3,716
2018,1,2,6,0,31.5,819
2018,1,2,7,0,32.1,336
2018,1,2,8,0,32.6,704
2018,1,2,9,0,32.5,620
2018,1,2,10,0,31.7,451
2018,1,2,11,0,30.2,283
2018,1,2,12,0,27.5,72
2018,1,2,13,0,26.3,0
2018,1,2,14,0,25.4,0
2018,1,2,15,0,24.7,0
2018,1,2,16,0,24.1,0
2018,1,2,17,0,23.6,0
2018,1,2,18,0,23.2,0
2018,1,2,19,0,22.8,0
2018,1,2,20,0,22.5,0
2018,1,2,21,0,22.3,0
2018,1,2,22,0,22,0
2018,1,2,23,0,21.8,0
2018,1,3,0,0,21.7,0
2018,1,3,1,0,22.1,0
2018,1,3,2,0,23.7,106
2018,1,3,3,0,25.5,323
2018,1,3,4,0,27.4,529
2018,1,3,5,0,29.1,692
2018,1,3,6,0,30.3,802
2018,1,3,7,0,31.3,828
2018,1,3,8,0,31.7,786
2018,1,3,9,0,31.7,680
2018,1,3,10,0,31.2,502
2018,1,3,11,0,29.8,289
2018,1,3,12,0,27,76
2018,1,3,13,0,25.7,0
2018,1,3,14,0,24.8,0
2018,1,3,15,0,23.9,0
2018,1,3,16,0,23.1,0
2018,1,3,17,0,22.5,0
2018,1,3,18,0,22,0
2018,1,3,19,0,21.6,0
2018,1,3,20,0,21.4,0
2018,1,3,21,0,21.2,0
2018,1,3,22,0,21,0
2018,1,3,23,0,20.8,0
2018,1,4,0,0,20.5,0
2018,1,4,1,0,21.4,0
2018,1,4,2,0,23.7,125
2018,1,4,3,0,25.8,345
2018,1,4,4,0,27.8,555
2018,1,4,5,0,29.5,716
2018,1,4,6,0,30.5,800
2018,1,4,7,0,31.1,827
2018,1,4,8,0,31.4,774
2018,1,4,9,0,31.3,657
2018,1,4,10,0,30.5,480
2018,1,4,11,0,28.9,68
2018,1,4,12,0,26.1,60
2018,1,4,13,0,24.9,0
2018,1,4,14,0,23.7,0
2018,1,4,15,0,22.6,0
2018,1,4,16,0,21.7,0
2018,1,4,17,0,20.9,0
2018,1,4,18,0,20.2,0
2018,1,4,19,0,19.7,0
2018,1,4,20,0,19.3,0
2018,1,4,21,0,18.9,0
2018,1,4,22,0,18.6,0
2018,1,4,23,0,18.3,0
2018,1,5,0,0,18,0
2018,1,5,1,0,18.9,0
2018,1,5,2,0,21.5,116
2018,1,5,3,0,24.6,337
2018,1,5,4,0,26.7,549
2018,1,5,5,0,28.4,716
2018,1,5,6,0,29.4,781
2018,1,5,7,0,30.2,814
2018,1,5,8,0,30.5,770
2018,1,5,9,0,30.5,674
2018,1,5,10,0,29.8,497
2018,1,5,11,0,28,283
2018,1,5,12,0,24.4,70
2018,1,5,13,0,22.9,0
2018,1,5,14,0,22.1,0
2018,1,5,15,0,21.2,0
2018,1,5,16,0,20.4,0
2018,1,5,17,0,19.6,0
2018,1,5,18,0,19,0
2018,1,5,19,0,18.5,0
2018,1,5,20,0,18.1,0
2018,1,5,21,0,17.7,0
2018,1,5,22,0,17.4,0
2018,1,5,23,0,17.1,0
2018,1,6,0,0,16.8,0
2018,1,6,1,0,17.7,0
2018,1,6,2,0,20.4,114
2018,1,6,3,0,23.9,229
2018,1,6,4,0,26.3,542
2018,1,6,5,0,27.9,710
2018,1,6,6,0,29.2,816
2018,1,6,7,0,30.1,845
2018,1,6,8,0,30.5,798
2018,1,6,9,0,30.5,678
2018,1,6,10,0,29.9,499
2018,1,6,11,0,28.2,284
2018,1,6,12,0,24.4,71
2018,1,6,13,0,22.8,0
2018,1,6,14,0,21.8,0
2018,1,6,15,0,20.8,0
2018,1,6,16,0,19.9,0
2018,1,6,17,0,19.2,0
2018,1,6,18,0,18.6,0
2018,1,6,19,0,18.1,0
2018,1,6,20,0,17.9,0
2018,1,6,21,0,17.5,0
2018,1,6,22,0,17.1,0
2018,1,6,23,0,16.9,0
2018,1,7,0,0,16.7,0
2018,1,7,1,0,17.5,0
2018,1,7,2,0,20.1,104
2018,1,7,3,0,23.4,323
2018,1,7,4,0,25.9,530
2018,1,7,5,0,27.7,690
2018,1,7,6,0,29,785
2018,1,7,7,0,29.9,817
2018,1,7,8,0,30.3,773
2018,1,7,9,0,30.4,677
2018,1,7,10,0,29.8,503
2018,1,7,11,0,28.1,289
2018,1,7,12,0,24.2,76
2018,1,7,13,0,22.7,0
2018,1,7,14,0,21.7,0
2018,1,7,15,0,20.9,0
2018,1,7,16,0,20.1,0
2018,1,7,17,0,19.3,0
2018,1,7,18,0,18.7,0
2018,1,7,19,0,18.1,0
2018,1,7,20,0,17.7,0
2018,1,7,21,0,17.3,0
2018,1,7,22,0,17,0
2018,1,7,23,0,16.8,0
2018,1,8,0,0,16.6,0
2018,1,8,1,0,17.7,0
2018,1,8,2,0,20.8,119
2018,1,8,3,0,23.8,339
2018,1,8,4,0,26,551
2018,1,8,5,0,27.8,722
2018,1,8,6,0,29.2,819
2018,1,8,7,0,30.1,852
2018,1,8,8,0,30.6,809
2018,1,8,9,0,30.5,687
2018,1,8,10,0,29.6,511
2018,1,8,11,0,27.6,296
2018,1,8,12,0,23.9,84
2018,1,8,13,0,22.7,0
2018,1,8,14,0,22.3,0
2018,1,8,15,0,21.7,0
2018,1,8,16,0,20.9,0
2018,1,8,17,0,20.4,0
2018,1,8,18,0,19.9,0
2018,1,8,19,0,19.1,0
2018,1,8,20,0,18.7,0
2018,1,8,21,0,18.4,0
2018,1,8,22,0,18.1,0
2018,1,8,23,0,17.9,0
2018,1,9,0,0,17.8,0
2018,1,9,1,0,18.8,0
2018,1,9,2,0,21.6,125
2018,1,9,3,0,24.9,257
2018,1,9,4,0,26.7,475
2018,1,9,5,0,28.2,533
2018,1,9,6,0,29,725
2018,1,9,7,0,29.6,818
2018,1,9,8,0,30.1,776
2018,1,9,9,0,30.1,599
2018,1,9,10,0,29.3,298
2018,1,9,11,0,27.8,254
2018,1,9,12,0,25.4,86
2018,1,9,13,0,24.3,0
2018,1,9,14,0,23.7,0
2018,1,9,15,0,23.3,0
2018,1,9,16,0,23,0
2018,1,9,17,0,22.7,0
2018,1,9,18,0,22.5,0
2018,1,9,19,0,22.3,0
2018,1,9,20,0,22.1,0
2018,1,9,21,0,21.9,0
2018,1,9,22,0,21.7,0
2018,1,9,23,0,21.5,0
2018,1,10,0,0,21.4,0
2018,1,10,1,0,21.7,0
2018,1,10,2,0,22.8,135
2018,1,10,3,0,24.5,28
2018,1,10,4,0,26.9,213
2018,1,10,5,0,28.9,244
2018,1,10,6,0,30.1,732
2018,1,10,7,0,30.9,858
2018,1,10,8,0,31.2,821
2018,1,10,9,0,30.8,327
2018,1,10,10,0,29.9,480
2018,1,10,11,0,28.3,319
2018,1,10,12,0,26.2,96
2018,1,10,13,0,25,0
2018,1,10,14,0,24.2,0
2018,1,10,15,0,23.6,0
2018,1,10,16,0,23,0
2018,1,10,17,0,22.7,0
2018,1,10,18,0,22.5,0
2018,1,10,19,0,22.4,0
2018,1,10,20,0,22.3,0
2018,1,10,21,0,22.2,0
2018,1,10,22,0,22,0
2018,1,10,23,0,21.9,0
2018,1,11,0,0,21.7,0
2018,1,11,1,0,22.4,0
2018,1,11,2,0,23.9,123
2018,1,11,3,0,26.2,305
2018,1,11,4,0,28.5,469
2018,1,11,5,0,30.3,677
2018,1,11,6,0,31.5,561
2018,1,11,7,0,32.3,372
2018,1,11,8,0,32.6,820
2018,1,11,9,0,32.4,573
2018,1,11,10,0,31.6,541
2018,1,11,11,0,30,324
